Ward,Neighbourhood Number,Neighbourhood Name,"No Certificate, Diploma or Degree",High School Diploma or Equivalent,Trades Certificate,Registered Apprenticeship Certificate,College Certificate or Diploma,University Certificate Below Bachelor's Level,Bachelor's Degree,University Certificate or Diploma above Bachelor Level,Medical Degree,Master's Degree,Earned Doctorate,No Response
WARD 1,3140,CRESTWOOD,63,280,36,6,256,60,415,61,38,137,42,25
WARD 1,3330,PARKVIEW,55,445,75,14,257,67,552,137,58,194,64,141
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,14,126,24,3,64,14,38,4,1,4,2,42
WARD 5,4720,GLASTONBURY,105,692,156,23,624,89,581,75,9,125,25,"2,218"
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4060,BRITANNIA YOUNGSTOWN,261,658,119,9,343,56,210,22,1,46,0,843
WARD 11,6450,MENISA,126,565,143,39,484,123,166,20,5,33,10,305
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2700,SCHONSEE,153,497,120,13,355,143,365,33,13,46,5,102
WARD 5,4360,OLESKIW,25,221,32,10,158,57,371,101,51,140,37,107
WARD 10,5260,LANSDOWNE,31,170,17,5,99,21,260,35,25,126,55,30
WARD 1,4700,BRECKENRIDGE GREENS,43,393,81,9,294,42,257,9,3,83,11,87
WARD 4,2110,BRINTNELL,129,519,180,16,390,122,227,52,12,50,5,"2,646"
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3170,DOVERCOURT,101,434,117,14,266,45,175,24,8,33,14,77
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5070,BLUE QUILL ESTATES,19,201,18,9,110,37,168,35,14,81,27,217
WARD 11,6520,MILL WOODS TOWN CENTRE,67,221,44,2,103,19,122,15,6,37,4,215
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5160,DUGGAN,204,711,125,19,432,95,616,85,12,260,64,578
WARD 6,3200,GLENORA,28,208,39,7,217,55,316,73,42,150,41,"1,805"
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2530,MCLEOD,148,500,141,12,257,54,133,30,4,25,3,191
WARD 11,6750,TIPASKAN,87,586,96,14,415,86,249,21,7,87,12,106
